BankID,Station ID,Star_year,End_year,Lat,Long,Long 2,Elev,Station name,ISPD directory,ISPD_path_directory,source_path_name,Source_name,Source_Contact,Source_ID
2001,10230,1930,1939,49.48,0.08,0.08,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10230,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
1000,070280-99999,1931,1938,49.52,0.12,0.12,17,CAP DE LA HEVE,ISPD2_2_4/isd2ispd/0/070280-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,10247,1936,1939,42.93,0.13,0.13,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10247,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
1000,074200-99999,1931,1938,45.67,0.23,0.23,83,BRIE CHAMPNIERS,ISPD2_2_4/isd2ispd/0/074200-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,073350-99999,1936,1938,46.58,0.32,0.32,126,POITIERS,ISPD2_2_4/isd2ispd/0/073350-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,035780-99999,1935,1939,52.37,0.47,0.47,5,1E+030,ISPD2_2_4/isd2ispd/0/035780-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,10222,1930,1930,47.42,0.7,0.7,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10222,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
1000,072400-99999,1931,1938,47.42,0.78,0.78,112,TOURS,ISPD2_2_4/isd2ispd/0/072400-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,036930-99999,1929,1986,51.53,0.82,0.82,3,SHOEBURYNESS,ISPD2_2_4/isd2ispd/0/036930-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,038880-99999,1929,1934,50.92,0.97,0.97,6,DUNGENESS,ISPD2_2_4/isd2ispd/0/038880-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,037950-99999,1929,1939,51.08,1.02,1.02,104,1E+030,ISPD2_2_4/isd2ispd/0/037950-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,036980-99999,1929,1930,51.78,1.17,1.17,52,TONGUE (LGT-VSL),ISPD2_2_4/isd2ispd/0/036980-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,036970-99999,1929,1939,51.95,1.33,1.33,3,1E+030,ISPD2_2_4/isd2ispd/0/036970-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,037970-35047,1930,1939,51.35,1.37,1.37,47,MANSTON,ISPD2_2_4/isd2ispd/0/037970-35047,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,076310-99999,1931,1938,43.55,1.38,1.38,164,TOULOUSE FRANCAZAL,ISPD2_2_4/isd2ispd/0/076310-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071430-99999,1936,1938,48.45,1.5,1.5,154,CHARTRES,ISPD2_2_4/isd2ispd/0/071430-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3017,31555016,1924,1925,43.72,1.58,1.58,195,Toulouse jolimont observatory,ISPD30_add/France/31555016,ISPD30_add,France,French hourly SLP from Meteo-France,sylvie.jourdain@meteo.fr ,277
1000,072470-99999,1936,1938,47.3,1.68,1.68,83,ROMORANTIN,ISPD2_2_4/isd2ispd/0/072470-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,034970-99999,1926,1973,52.58,1.72,1.72,2,GORLESTON,ISPD2_2_4/isd2ispd/0/034970-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,034970-99999,1929,1939,52.58,1.73,1.73,2,GORLESTON,ISPD2_2_4/isd2ispd/0/034970-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070070-99999,1931,1942,50.87,1.75,1.75,123,1E+030,ISPD2_2_4/isd2ispd/0/070070-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,073540-34048,1936,1938,46.82,1.77,1.77,153,CHATEAUROUX,ISPD2_2_4/isd2ispd/0/073540-34048,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,072490-99999,1936,1938,48,1.8,1.8,129,ORLEANS,ISPD2_2_4/isd2ispd/0/072490-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070090-99999,1929,1938,50.97,1.83,1.83,27,CALAIS/DUNKERQUE,ISPD2_2_4/isd2ispd/0/070090-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070050-99999,1926,1942,50.13,1.85,1.85,71,ABBEVILLE,ISPD2_2_4/isd2ispd/0/070050-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070550-99999,1936,1942,49.45,2.1,2.1,100,BEAUVAIS,ISPD2_2_4/isd2ispd/0/070550-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3009,0200E,1936,2002,41.42,2.12,2.12,420,BARCELONA,ISPD2_2_4/ispd1_1/spanish/0200E,ISPD2_2_4,ispd1_1,Spanish Hourly Pressure Observations ,manola.brunet@urv.net ,269
